Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 4, 40.0, -7.199999999999999
Query 2, 0, 0.0, 0
Query 3, 1, 10.0, 0
Query 4, 4, 40.0, -0.8
Query 5, 4, 40.0, -2.1
Query 6, 2, 20.0, -31.0
Query 7, 1, 10.0, 0
Query 8, 0, 0.0, 0
Query 9, 4, 40.0, -10.9
Query 10, 3, 30.0, -6.25
Query 11, 1, 10.0, 0
Query 12, 1, 10.0, 0
Query 13, 4, 40.0, -5.0
Query 14, 1, 10.0, 0
Query 15, 1, 10.0, 0
Query 16, 2, 20.0, -4.0
Query 17, 1, 10.0, 0
Query 18, 0, 0.0, 0
Query 19, 2, 20.0, -1.0
Query 20, 2, 20.0, 0.0
Query 21, 0, 0.0, 0
Query 22, 2, 20.0, -36.0
Query 23, 6, 60.0, 0.17142857142857137
Query 24, 1, 10.0, 1
Query 25, 3, 30.0, -12.25
Query 26, 4, 40.0, -2.8
Query 27, 5, 50.0, -1.0
Query 28, 1, 10.0, 0
Query 29, 1, 10.0, 0
Query 30, 3, 30.0, -8.5
Query 31, 2, 20.0, -3.0
Query 32, 2, 20.0, -8.0
Query 33, 2, 20.0, -12.0
Query 34, 4, 40.0, -8.4
Query 35, 3, 30.0, -3.75
Query 36, 2, 20.0, 0.0
Query 37, 5, 50.0, 0.30000000000000004
Query 38, 3, 30.0, -5.5
Query 39, 2, 20.0, -3.0
Query 40, 3, 30.0, -1.75
Query 41, 0, 0.0, 0
Query 42, 1, 10.0, 0
Query 43, 0, 0.0, 0
Query 44, 2, 20.0, -35.0
Query 45, 5, 50.0, -7.0
Query 46, 3, 30.0, -15.25
Query 47, 3, 30.0, -5.5
Query 48, 0, 0.0, 0
Query 49, 2, 20.0, 1.0
Query 50, 3, 30.0, -8.25
Query 51, 2, 20.0, -49.0
Query 52, 4, 40.0, -0.10000000000000009
Query 53, 3, 30.0, -16.0
Query 54, 2, 20.0, -3.0
Query 55, 0, 0.0, 0
Query 56, 0, 0.0, 0
Query 57, 3, 30.0, 0.25
Query 58, 3, 30.0, -26.5
Query 59, 3, 30.0, -15.25
Query 60, 1, 10.0, 1
Query 61, 3, 30.0, -7.25
Query 62, 5, 50.0, -2.5
Query 63, 5, 50.0, -2.15
Query 64, 0, 0.0, 0
Query 65, 0, 0.0, 0
Query 66, 0, 0.0, 0
Query 67, 1, 10.0, 0
Query 68, 6, 60.0, -0.8857142857142857
Query 69, 0, 0.0, 0
Query 70, 4, 40.0, -5.7
Query 71, 5, 50.0, -0.95
Query 72, 0, 0.0, 0
Query 73, 2, 20.0, -16.0
Query 74, 2, 20.0, -3.0
Query 75, 1, 10.0, 0
Query 76, 2, 20.0, -19.0
Query 77, 0, 0.0, 0
Query 78, 3, 30.0, -16.25
Query 79, 4, 40.0, -1.0
Query 80, 3, 30.0, -7.25
Query 81, 0, 0.0, 0
Query 82, 1, 10.0, 1
Query 83, 7, 70.0, -0.9107142857142858
Query 84, 0, 0.0, 0
Query 85, 0, 0.0, 0
Query 86, 2, 20.0, -1.0
Query 87, 2, 20.0, -64.0
Query 88, 2, 20.0, -3.0
Query 89, 5, 50.0, 0.85
Query 90, 5, 50.0, -0.6000000000000001
Query 91, 0, 0.0, 0
Query 92, 6, 60.0, -1.942857142857143
Query 93, 0, 0.0, 0
Query 94, 4, 40.0, -3.2
Query 95, 0, 0.0, 0
Query 96, 1, 10.0, 1
Query 97, 1, 10.0, 1
Query 98, 0, 0.0, 0
Query 99, 3, 30.0, -0.5
Query 100, 4, 40.0, -4.5
Averages, 2.21, 22.1, -5.090678571428571
